paper_id,title,year,first_author,venue,arxiv_id,doi,official_url,official_pdf_url,source_version,pdf_sha256,raw_md_sha256,pdf_local_path,raw_md_local_path,library_status,github_card_path,code_available,official_code_url,code_repo_id,reading_status,primary_tags,hypothesis_tags,decision_relevance,last_reviewed,notes
P0001,Epona: Autoregressive Diffusion World Model for Autonomous Driving,2025,Kaiwen Zhang,ICCV 2025,2506.24113,10.1109/ICCV.2025.02527,https://arxiv.org/abs/2506.24113,https://openaccess.thecvf.com/content/ICCV2025/papers/Zhang_Epona_Autoregressive_Diffusion_World_Model_for_Autonomous_Driving_ICCV_2025_paper.pdf,ICCV2025_camera_ready,bab0acb08dfac9933a333f1c80aac590bd1b185dc9aad20c14b29763e814bfb0,f7593ab5881b11446ba6d90bb6e48ffc0c2c17375a775039d7d7442ec059e8e6,D:\zym_information\ZYM\wam\research_assets\papers\pdf\P0001_Epona.pdf,D:\zym_information\ZYM\wam\research_assets\papers\raw_md\P0001_Epona\P0001_Epona.raw.md,PDF+MD,papers/cards/P0001_Epona.md,YES,https://github.com/Kevin-thu/Epona,,RAW_MD_READY,world-model;planning;diffusion;autoregressive,GENERAL;P3_HOLD,MEDIUM,2026-09-13,"EVIDENCE_LEVEL=DOCUMENT_VERIFIED. RAW_MD: 56223 chars, 19 headings, 11/11 images, 0 mojibake (MinerU pipeline+auto); regenerated from the new canonical PDF, no pre-existing derived markdown reused. Canonical ICCV2025 camera-ready differs from BOTH pre-existing local PDFs (Epona.pdf 5AD06198... and Epona_origin.pdf 731D0633...) so per ruling neither may serve as canonical. Front page confirms author 8 = Li Yuan which overrules the Yuan Li spelling in OpenAlex and in the GitHub README. CODE: repo page self-describes as Official Code for Epona (ICCV 2025), HTTP 200."
P0002,SafeDrive: Fine-Grained Safety Reasoning for End-to-End Driving in a Sparse World,2026,Jungho Kim,CVPR 2026,2602.18887,NONE,https://openaccess.thecvf.com/content/CVPR2026/html/Kim_SafeDrive_Fine-Grained_Safety_Reasoning_for_End-to-End_Driving_in_a_Sparse_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Kim_SafeDrive_Fine-Grained_Safety_Reasoning_for_End-to-End_Driving_in_a_Sparse_CVPR_2026_paper.pdf,CVPR2026_camera_ready,77b057a6687abd7f080eaf29fc58b99e0f8dcf401a866928ae4fe56be8429290,99a404b8d541484c28a515f9dd63997baf664fa00bb6f29b5c339ad61d074b99,D:\zym_information\ZYM\wam\research_assets\papers\pdf\P0002_SafeDrive.pdf,D:\zym_information\ZYM\wam\research_assets\papers\raw_md\P0002_SafeDrive\P0002_SafeDrive.raw.md,PDF+MD,papers/cards/P0002_SafeDrive.md,UNKNOWN,,,RAW_MD_READY,planning;safety;trajectory-scorer,P1_RETIRED;P2R_PRIMARY,MEDIUM,2026-09-13,"EVIDENCE_LEVEL=DOCUMENT_VERIFIED. RAW_MD: 49328 chars, 21 headings, 5/5 images, 0 mojibake. RESOLVED per user adjudication keyed to the trajectory-conditioned Sparse World mechanism; METADATA_AMBIGUOUS withdrawn. Front page confirms all six authors: Jungho Kim, Jiyong Oh, Seunghoon Yu, Hongjae Shin, Donghyuk Kwak, Jun Won Choi (Seoul National University). Project page stated on the paper itself: https://spa-junghokim.github.io/SafeDrive-Page/ - repo existence NOT verified. SafeDrive Dreamer and other same-name works do NOT occupy P0002."
P0003,GraphAD: Interaction Scene Graph for End-to-end Autonomous Driving,2024,Yunpeng Zhang,IJCAI 2024,2403.19098,10.24963/ijcai.2024/270,https://arxiv.org/abs/2403.19098,https://arxiv.org/pdf/2403.19098,arXiv_v1,36667d2cddcd4d02f9932e38bbd4157c16206aad81dfab95f9e9873035cf5d36,5503686526b7183587dc53f2820403ca966942b7f6dad306b7418ae4e11f17d0,D:\zym_information\ZYM\wam\research_assets\papers\pdf\P0003_GraphAD.pdf,D:\zym_information\ZYM\wam\research_assets\papers\raw_md\P0003_GraphAD\P0003_GraphAD.raw.md,PDF+MD,papers/cards/P0003_GraphAD.md,YES,https://github.com/zhangyp15/GraphAD,,RAW_MD_READY,planning;interactive;trajectory-prediction,P2R_PRIMARY,MEDIUM,2026-09-13,"EVIDENCE_LEVEL=DOCUMENT_VERIFIED for title and authors; venue remains INDEX_BACKED. RAW_MD: 47393 chars, 19 headings, 4/4 images, 0 mojibake. Canonical is arXiv because no verified IJCAI camera-ready URL was located. Front page author list begins Yunpeng Zhang, Deheng Qian, Ding Li, Yifeng Pan, Yong Chen, Zhenbao Liang. OpenAlex holds two IJCAI records (2024 and 2025, same pages 2422-2430) - unresolved indexing conflict. CODE: repo located via GitHub search, owner handle matches first author Yunpeng Zhang, HTTP 200; my earlier pattern-inferred candidate OpenDriveLab/GraphAD returned 404 and was wrong."
P0004,Reasoning Multi-Agent Behavioral Topology for Interactive Autonomous Driving,2024,Haochen Liu,NeurIPS 2024,2409.18031,NONE,https://arxiv.org/abs/2409.18031,https://proceedings.neurips.cc/paper_files/paper/2024/file/a862f5788fd09bb6843c694d8120d50c-Paper-Conference.pdf,NeurIPS2024_camera_ready,ddd710d8c508cd2f349337fdabc853ed08107d0405af990168aabd47fe0ce585,927aa79b6de67e69820c94513f5473a144f0da81c91be6fe7d5371a1513b9926,D:\zym_information\ZYM\wam\research_assets\papers\pdf\P0004_BeTop.pdf,D:\zym_information\ZYM\wam\research_assets\papers\raw_md\P0004_BeTop\P0004_BeTop.raw.md,PDF+MD,papers/cards/P0004_BeTop.md,YES,https://github.com/OpenDriveLab/BeTop,,RAW_MD_READY,planning;interactive;trajectory-prediction;closed-loop,P2R_PRIMARY,HIGH,2026-09-13,"EVIDENCE_LEVEL=DOCUMENT_VERIFIED. RAW_MD: 129551 chars, 49 headings, 35/35 images, 0 mojibake (longest document in the batch, 33 pages). Front page confirms Haochen Liu, Li Chen, Yu Qiao, Chen Lv, Hongyang Li and that BeTop and BeTopNet are this paper's own terms. CODE: repo page self-describes as [NeurIPS 2024] Behavioral Topology (BeTop), HTTP 200; officiality rests on the lab account plus that self-description, not on a paper link."
P0005,RiskWorld: Object-Centric Latent World Modeling for Autonomous Driving Risk Identification,2026,Jingzheng Li,arXiv preprint,2608.21414,NONE,https://arxiv.org/abs/2608.21414,https://arxiv.org/pdf/2608.21414,arXiv_v1,8241e4d40e34dce32456faf9713fc6f0a349255200e266bbf22d5c161fd237a4,0ddd1d6940afe7f6f0f2ec59bd7bc3f441d033c0053ff6b147f3ba3ddf3ab6e9,D:\zym_information\ZYM\wam\research_assets\papers\pdf\P0005_RiskWorld.pdf,D:\zym_information\ZYM\wam\research_assets\papers\raw_md\P0005_RiskWorld\P0005_RiskWorld.raw.md,PDF+MD,papers/cards/P0005_RiskWorld.md,UNKNOWN,,,RAW_MD_READY,world-model;risk;planning,P2R_PRIMARY;P3_HOLD,MEDIUM,2026-09-13,"EVIDENCE_LEVEL=DOCUMENT_VERIFIED. RAW_MD: 48913 chars, 22 headings, 14/14 images, 0 mojibake. Front page confirms Jingzheng Li, Yufei Ge, Qianren Mao, Zhijun Chen, Bing Li, Xingyu Peng, Baochang Zhang, Xianglong Liu. No competing driving RiskWorld exists; only unrelated sociological uses were found."
P0006,Gen-Drive: Enhancing Diffusion Generative Driving Policies with Reward Modeling and Reinforcement Learning Fine-tuning,2025,Zhiyu Huang,ICRA 2025,2410.05582,10.1109/ICRA55743.2025.11127286,https://arxiv.org/abs/2410.05582,https://arxiv.org/pdf/2410.05582,arXiv_v1,5b3377cf3c94873ae8d346b420ce797c655032a3234d93e582eb2ca119bfb58f,ecacca93551aa987a6044928ecec056c4562de7dacea19850a73d2a03e0fb168,D:\zym_information\ZYM\wam\research_assets\papers\pdf\P0006_GenDrive.pdf,D:\zym_information\ZYM\wam\research_assets\papers\raw_md\P0006_GenDrive\P0006_GenDrive.raw.md,PDF+MD,papers/cards/P0006_GenDrive.md,UNKNOWN,,,RAW_MD_READY,planning;reward-model;diffusion,P1_RETIRED,HIGH,2026-09-13,"EVIDENCE_LEVEL=DOCUMENT_VERIFIED. RAW_MD: 42505 chars, 18 headings, 14/14 images, 0 mojibake. TITLE CONFLICT resolved: the paper front page reads Fine-tuning while OpenAlex read Fine-Tuning - the paper wins. ICRA 2025 camera-ready is IEEE-paywalled so the official arXiv version is canonical. Front page confirms Zhiyu Huang, Xinshuo Weng, Maximilian Igl, Yuxiao Chen, Yulong Cao, Boris Ivanovic, Marco Pavone, Chen Lv. HIGH per upstream research context (learned-reward RL improve-then-degrade). CODE: no official repository located (GitHub search for Gen-Drive/GenDrive found nothing matching); my pattern-inferred candidate Chengyuan-Zhang/Gen-Drive returned 404 and was wrong, so code_available stays UNKNOWN."
P0007,DriveReward: A Comprehensive Dataset and Generative Vision-Language Reward Model for Autonomous Driving,2026,Qimao Chen,arXiv preprint,2606.08525,NONE,https://arxiv.org/abs/2606.08525,https://arxiv.org/pdf/2606.08525,arXiv_v1,16fdf0c22d51dd65c0b9cd2e44c29a519167ec47278e466c6b1c319d5a8b96c7,db2bdfb5c3562f8932d5bebe1b02b4423d231cb5160174ab2277c13e24fc3cd6,D:\zym_information\ZYM\wam\research_assets\papers\pdf\P0007_DriveReward.pdf,D:\zym_information\ZYM\wam\research_assets\papers\raw_md\P0007_DriveReward\P0007_DriveReward.raw.md,PDF+MD,papers/cards/P0007_DriveReward.md,UNKNOWN,,,RAW_MD_READY,reward-model;trajectory-scorer;planning,P1_RETIRED,MEDIUM,2026-09-13,"EVIDENCE_LEVEL=DOCUMENT_VERIFIED. RAW_MD: 59082 chars, 23 headings, 8/8 images, 0 mojibake. Front page confirms Qimao Chen, Fang Li, Yuechen Luo, Zehan Zhang, Haiyang Sun and others. No official dataset or HuggingFace page was located - unresolved rather than answered no. CODE: GitHub repository search for DriveReward returned 0 results - no official code located."
P0008,NPPC: Neural Parametric Planning Cost for End-to-End Autonomous Driving,2026,Abi Rahman Syamil,IEEE RA-L 2026,NONE,10.1109/LRA.2026.3663819,https://doi.org/10.1109/LRA.2026.3663819,,none_available,,,,,NONE,papers/cards/P0008_NPPC.md,UNKNOWN,,,DISCOVERED,planning;trajectory-scorer;end-to-end,P1_RETIRED,HIGH,2026-09-13,"DOWNLOAD_BLOCKED: PAYWALLED_NO_OPEN_SOURCE (IEEE Xplore doc 11393633, DOI 10.1109/LRA.2026.3663819). No arXiv version exists. Neither PDF nor raw MD acquired, so metadata remains INDEX_BACKED and no front-page verification was possible. Disambiguate by DOI never by the acronym (NPPC also denotes the natriuretic peptide gene); a GitHub search for NPPC returned only unrelated projects. HIGH per upstream research context: the key counterexample where learned continuous cost improved planning with no observed cost hacking."
P0009,DriveLaW: Unifying Planning and Video Generation in a Latent Driving World,2026,Tianze Xia,CVPR 2026,2512.23421,NONE,https://openaccess.thecvf.com/content/CVPR2026/html/Xia_DriveLaW_Unifying_Planning_and_Video_Generation_in_a_Latent_Driving_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Xia_DriveLaW_Unifying_Planning_and_Video_Generation_in_a_Latent_Driving_CVPR_2026_paper.pdf,CVPR2026_camera_ready,74c3b1f2a64283620be6b01769fb036d2cb8e135f83d9bd5b2b8d2167c351f09,bb281beaf0bfe222c2a24b6cb6374b9239bdeb09ece825791e39d84248c6d9a8,D:\zym_information\ZYM\wam\research_assets\papers\pdf\P0009_DriveLaW.pdf,D:\zym_information\ZYM\wam\research_assets\papers\raw_md\P0009_DriveLaW\P0009_DriveLaW.raw.md,PDF+MD,papers/cards/P0009_DriveLaW.md,YES,https://github.com/xiaomi-research/drivelaw,,RAW_MD_READY,world-model;planning;end-to-end;representation,P3_HOLD,HIGH,2026-09-13,"EVIDENCE_LEVEL=DOCUMENT_VERIFIED. RAW_MD: 63498 chars, 19 headings, 3/3 images, 0 mojibake. CVPR 2026 camera-ready. Front page confirms Tianze Xia, Yongkang Li, Lijun Zhou, Jingfeng Yao and others (HUST / Xiaomi EV). ID conflict recorded: the naming-standard example P0002_DriveLaW was corrected to PXXXX_DriveLaW and DriveLaW remains P0009. CODE: repo page self-describes as [CVPR2026] DriveLaW..., HTTP 200 under the Xiaomi research account."
P0010,Test-Time Trajectory Optimization for Autonomous Driving,2026,Yihong Xu,arXiv preprint,2606.07170,NONE,https://arxiv.org/abs/2606.07170,https://arxiv.org/pdf/2606.07170,arXiv_v1,552116bd40762e0e57b21ec8793187b1ec222ed107472814f126a167fc5dc1f2,d15e5a52a3f7bdb13ef745aa39522521227b33fd3449675c0857fb1cdf0dd25c,D:\zym_information\ZYM\wam\research_assets\papers\pdf\P0010_TOAD.pdf,D:\zym_information\ZYM\wam\research_assets\papers\raw_md\P0010_TOAD\P0010_TOAD.raw.md,PDF+MD,papers/cards/P0010_TOAD.md,YES,https://github.com/valeoai/TOAD,,RAW_MD_READY,planning;trajectory-scorer,P1_RETIRED,HIGH,2026-09-13,"EVIDENCE_LEVEL=DOCUMENT_VERIFIED. RAW_MD: 69928 chars, 20 headings, 11/11 images, 0 mojibake. PROVENANCE CONFLICT RECORDED, NOT RESOLVED: the official repo README advertises 94.9 PDMS on NAVSIM-v1 while the paper abstract states 94.7 PDMS. Front page and the repo citation block agree that Yihong Xu is first author. CODE: repo page self-describes as Official implementation for TOAD, HTTP 200. Existing EXTERNAL clone: repos/toad under the upstream research tree @ cfa88e008080d0799b2859b5935c257048ec0adf (Apache-2.0), not registered in CODE_REPO_MANIFEST."
