order	group	paper_id	short_name	raw_paper	code_or_version_audit	deep_analysis	mandatory_split_or_boundary
01	human_validation	P0048	LAW	papers/raw_md/P0048_LAW/P0048_LAW.raw.md	audits/literature/PHASE_B_WAVE2_INTERFACE_CODE_AUDIT.md	papers/deep_analysis/P0048_LAW_DEEP_ANALYSIS_V2.md	training-only future branch versus deployed direct policy
02	human_validation	P0001	Epona	papers/raw_md/P0001_Epona/P0001_Epona.raw.md	audits/literature/PHASE_C5_EPONA_SOURCE_AUDIT.md	papers/deep_analysis/P0001_EPONA_DEEP_ANALYSIS_V2.md	planning versus rollout and user-control modes
03	human_validation	P0009	DriveLaW	papers/raw_md/P0009_DriveLaW/P0009_DriveLaW.raw.md	audits/literature/PHASE_C6_DRIVELAW_AUDIT.md	papers/deep_analysis/P0009_DRIVELAW_DEEP_ANALYSIS_V2.md	paper/source equation and action-step boundary
04	human_validation	P0046	World4Drive	papers/raw_md/P0046_World4Drive/P0046_World4Drive.raw.md	audits/literature/PHASE_C5_WORLD4DRIVE_AUDIT.md	papers/deep_analysis/P0046_WORLD4DRIVE_DEEP_ANALYSIS_V2.md	factual-mode matching versus planning utility
05	human_validation	P0042	WorldDrive	papers/raw_md/P0042_WorldDrive/P0042_WorldDrive.raw.md	audits/literature/PHASE_C5_WORLDDRIVE_AUDIT.md	papers/deep_analysis/P0042_WORLDDRIVE_DEEP_ANALYSIS_V2.md	heavy teacher versus deployed reward surrogate
06	human_validation	P0045	WoTE	papers/raw_md/P0045_WoTE/P0045_WoTE.raw.md	audits/literature/PHASE_B_WAVE2_INTERFACE_CODE_AUDIT.md	papers/deep_analysis/P0045_WOTE_DEEP_ANALYSIS_V2.md	candidate-conditioned temporal rollout and decomposed reward
07	stress_test	P0061	SeerDrive	papers/raw_md/P0061_SeerDrive/P0061_SeerDrive.raw.md	audits/literature/PHASE_C5_SEERDRIVE_AUDIT.md	papers/deep_analysis/P0061_SEERDRIVE_DEEP_ANALYSIS_V2.md	paper mechanism versus released code
08	stress_test	P0049	Drive-JEPA	papers/raw_md/P0049_DriveJEPA/P0049_DriveJEPA.raw.md	audits/literature/PHASE_C5_DRIVEJEPA_AUDIT.md	papers/deep_analysis/P0049_DRIVEJEPA_DEEP_ANALYSIS_V2.md	perception-free versus perception-based deployment
09	stress_test	P0062	Metis	papers/raw_md/P0062_Metis/P0062_Metis.raw.md	audits/literature/PHASE_C5_METIS_AUDIT.md	papers/deep_analysis/P0062_METIS_DEEP_ANALYSIS_V2.md	paper-level only; implementation source unavailable
10	stress_test	P0063	DynFlowDrive	papers/raw_md/P0063_DynFlowDrive/P0063_DynFlowDrive.raw.md	audits/literature/PHASE_C5_DYNFLOWDRIVE_AUDIT.md	papers/deep_analysis/P0063_DYNFLOWDRIVE_DEEP_ANALYSIS_V2.md	training world criterion removed at deployment; hybrid objective
11	stress_test	P0064	Discrete-WAM	papers/raw_md/P0064_Discrete-WAM/P0064_Discrete-WAM.raw.md	audits/literature/PHASE_C5_DISCRETE_WAM_AUDIT.md	papers/deep_analysis/P0064_DISCRETE_WAM_DEEP_ANALYSIS_V2.md	decision vocabulary versus runtime candidate bank; source unidentified
12	stress_test	P0065	GraphWorld	papers/raw_md/P0065_GraphWorld/P0065_GraphWorld.raw.md	audits/literature/PHASE_C5_GRAPHWORLD_AUDIT.md	papers/deep_analysis/P0065_GRAPHWORLD_DEEP_ANALYSIS_V2.md	current world state versus ordinary hidden state; source unverified
